String,Admin Roles,Content Roles,End User,From Mukurtu
Abbreviated weekdayFri,,,,
Abbreviated weekdayMo,,,,
Abbreviated weekdayMon,,,,
Abbreviated weekdaySa,,,,
Abbreviated weekdaySat,,,,
Abbreviated weekdaySu,,,,
Abbreviated weekdaySun,,,,
Abbreviated weekdayTh,,,,
Abbreviated weekdayThu,,,,
Abbreviated weekdayTu,,,,
Abbreviated weekdayTue,,,,
Abbreviated weekdayWe,,,,
Abbreviated weekdayWed,,,,
Abbreviation,,,,
About,x,x,,
About searching,,,,
About text formats,,,,
about the status of the @name module,,,,
Above,,,,
Above the preview,,,,
Absolute URL,,,,
Accent color,,,,
"Accept all JSON:API create, read, update, and delete operations.",,,,
Accept only JSON:API read operations.,,,,
Accepted request formats,,,,
Access,,,,
Access @method on %label resource,,,,
Access denied,,,,
Access denied (@status_code),,,,
Access developer information,,,,
Access media overview,,,,
Access navigation bar,,,,
Access operation to check,,,,
Access options,,,,
Access restrictions,,,,
Access the Content blocks overview page,x,,,
Access the Content overview page,,,,
Access the Files overview page,,,,
Access the taxonomy vocabulary overview page,,,,
Access to update.php,x,,,
Access type,,,,
Access will be granted to users with any of the specified roles.,,,,
Access will be granted to users with the specified permission string.,,,,
Accessibility features,,,,
"Accessibility features, to enable all users to perform administrative tasks. See @accessibility_topic for more information.",,,,
Accessibility of the administrative interface,,,,
Accessing announcements,,,,
Account %name has been deleted.,,,,
Account %name has been disabled.,,,,
Account activation,x,,,
Account administration pages,,,,
Account administration pages language setting.,,,,
Account blocked,x,,,
Account canceled,x,,,
Account cancellation confirmation,x,,,
Account cancellation request for [user:display-name] at [site:name],x,x,,
Account cancellation URL,x,x,,
Account cancelled,x,x,,
Account created by administrator,x,,,
Account details for [user:display-name] at [site:name],x,x,x,
Account details for [user:display-name] at [site:name] (approved),x,x,x,
Account details for [user:display-name] at [site:name] (blocked),x,x,x,
Account details for [user:display-name] at [site:name] (canceled),x,x,x,
Account details for [user:display-name] at [site:name] (pending admin approval),x,x,x,
Account ID,x,x,,
Account Name,x,x,,
Account settings,x,x,,
Account's permissions,x,,,
Acronym,,,,
Action,,,,
action,,,,
Action configuration,,,,
Action description,,,,
Action ID,,,,
Action title,,,,
Action to take if filter value does not validate,,,,
Actions,,,,
actions,,,,
Actions Permissions,,,,
Activate,,,,
Activate the %workspace workspace.,,,,
Activate Workspace,,,,
Active,x,x,,
active,x,x,,
Active configuration,,,,
"Active configuration is the current working configuration of a site. Storage of active configuration is defined by the site, and resides in the database by default.",,,,
Active menu trail,,,,
Add,,,,
"Add ""…"" at the end of trimmed text",,,,
Add %label effect to style %style,,,,
Add %label for @entity-type,,,,
Add %txt_extension to the list of allowed extensions to securely upload files with a %extension extension. The %txt_extension extension will then be added automatically.,,,,
Add %type content block,x,,,
Add @bundle,,,,
Add @display,,,,
Add @entity-type,,,,
Add @language translation for %label,,,,
Add @title,,,,
Add @type,,,,
Add @type via URL,,,,
"Add <a href="":modules"">contributed modules</a> to extend your site's functionality.",x,,,
"Add <span class=""visually-hidden"">@type</span>",,,,
"Add a <a href="":url"">content block</a>.",x,,,
Add a details element,,,,
Add a details sidebar element,,,,
Add a field to all bundles,,,,
"Add a field to an entity sub-type; see @content_structure_topic for an overview of entity types and sub-types, as well as an overview of field types.",,,,
Add a form element that lets you run operations on multiple comments.,,,,
Add a form element that lets you run operations on multiple nodes.,,,,
Add a form element that lets you run operations on multiple users.,,,,
"Add a language to be supported by your site. If your desired language is not available, pick <em>Custom language...</em> at the end and provide a language code and other details manually.",x,,,
Add a language to your site.,x,,,
Add a link to a menu. Note that you can also add a link to a menu from the content edit page if menu settings have been configured for the content type.,x,,,
Add a more link to the bottom of the display.,,,,
Add a new @entity_type.,,,,
Add a new content block,x,,,
"Add a new display to an existing view. This will allow you to display similar data to an existing view, using similar settings, in a new block, page, feed, etc.",x,,,
Add a new file,x,x,x,
Add a new group,,,,
"Add a new image style, which can be used to process and display images. See @media_topic for an overview of image styles.",,,,
Add a new mapping,x,,,
"Add a new media type that can be referenced in Media reference fields; media types are a content entity type. See @media_topic for an overview of media items and media types, and @content_structure_topic for more information on content entities and fields.",,,,
Add a new recipe to the site.,,,,
Add a new state,,,,
Add a new transition,,,,
Add a read-more link if output is trimmed,,,,
Add a relationship,,,,
Add a role to the selected users,x,x,,
Add above,x,x,,
Add alias,x,,,
Add an entity reference field to an entity sub-type; see @content_structure_topic for more information on entities and reference fields.,,,,
